13	1	1	SyncTheta	36	1284_4Hz.avi	orch29_zero_4Hz.wav	orch	1	6.66978089999975	1	13	36	17	30	81	1	1	3	6.655504415	NaN	8509.7323686	1	NaN	NaN	NaN
13	2	1	SyncTheta	30	1016_4Hz.avi	orch14_zero_4Hz.wav	orch	2	3.51779759999954	0	13	81	17	36	30	4	3	1	6.655504415	NaN	8518.4823858	1	NaN	NaN	NaN
13	3	1	SyncTheta	29	1158_4Hz.avi	dar23_zero_4Hz.wav	dar	4	7.21077669999977	0	13	49	29	34	2	2	5	4	6.655504415	NaN	8524.7324206	1	NaN	NaN	NaN
13	4	1	SyncTheta	19	1247_4Hz.avi	choir38_zero_4Hz.wav	choir	2	4.06589059999897	0	13	63	10	19	12	3	16	4	6.655504415	NaN	8534.1990709	1	NaN	NaN	NaN
13	5	1	SyncTheta	44	1254_4Hz.avi	acoustic48_zero_4Hz.wav	acoustic	4	3.09373290000076	0	13	1	5	44	20	3	2	4	6.655504415	NaN	8540.2990639	1	NaN	NaN	NaN
13	6	1	SyncTheta	12	1077_4Hz.avi	choir18_zero_4Hz.wav	choir	1	3.50101830000131	1	13	12	19	10	63	1	7	3	6.655504415	NaN	8546.2991374	1	NaN	NaN	NaN
13	7	1	SyncTheta	81	1444_4Hz.avi	orch4_zero_4Hz.wav	orch	1	2.96346840000115	1	13	81	17	30	36	1	10	5	6.655504415	NaN	8551.6158031	1	NaN	NaN	NaN
13	8	1	SyncTheta	1	1064_4Hz.avi	acoustic12_zero_4Hz.wav	acoustic	3	5.30623419999938	1	13	20	44	1	5	3	9	1	6.655504415	NaN	8556.6658136	1	NaN	NaN	NaN
13	9	1	SyncTheta	2	1431_4Hz.avi	dar24_zero_4Hz.wav	dar	2	5.54455229999985	1	13	34	2	29	49	2	15	4	6.655504415	NaN	8563.4491972	1	NaN	NaN	NaN
13	10	1	SyncTheta	5	1381_4Hz.avi	acoustic1_zero_4Hz.wav	acoustic	4	3.48571679999986	0	13	20	5	1	44	2	8	1	6.655504415	NaN	8570.3491959	1	NaN	NaN	NaN
13	11	1	SyncTheta	17	1162_4Hz.avi	orch1_zero_4Hz.wav	orch	1	2.72187389999999	0	13	30	36	17	81	3	14	3	6.655504415	NaN	8576.1825685	1	NaN	NaN	NaN
13	12	1	SyncTheta	10	1179_4Hz.avi	choir4_zero_4Hz.wav	choir	3	3.57241310000063	0	13	63	10	19	12	2	13	3	6.655504415	NaN	8582.3992363	1	NaN	NaN	NaN
13	13	1	SyncTheta	49	1221_4Hz.avi	dar21_zero_4Hz.wav	dar	2	5.99989470000037	0	13	49	29	34	2	1	6	2	6.655504415	NaN	8589.3159037	1	NaN	NaN	NaN
13	14	1	SyncTheta	63	1128_4Hz.avi	choir26_zero_4Hz.wav	choir	3	6.67976140000064	1	13	12	19	63	10	3	4	3	6.655504415	NaN	8597.1992897	1	NaN	NaN	NaN
13	15	1	SyncTheta	34	1319_4Hz.avi	dar22_zero_4Hz.wav	dar	4	8.85598150000078	0	13	49	34	29	2	2	12	3	6.655504415	NaN	8606.5660096	1	NaN	NaN	NaN
13	16	1	SyncTheta	20	1236_4Hz.avi	acoustic25_zero_4Hz.wav	acoustic	2	4.2065451999988	1	13	44	20	1	5	2	11	5	6.655504415	NaN	8618.7160588	1	NaN	NaN	NaN
13	1	2	AsyncTheta	165	1410_4Hz.avi	orch43_oneeighty_4Hz.wav	orch	4	8.34749829999964	0	13	137	165	143	145	2	3	3	5.06917510166667	NaN	8797.0499865	1	NaN	NaN	NaN
13	2	2	AsyncTheta	143	1127_4Hz.avi	orch11_oneeighty_4Hz.wav	orch	2	4.8651418999998	1	13	137	143	165	145	2	8	5	5.06917510166667	NaN	8808.0500697	1	NaN	NaN	NaN
13	3	2	AsyncTheta	154	1074_4Hz.avi	dar5_oneeighty_4Hz.wav	dar	2	7.31254000000081	0	13	154	114	136	126	1	2	5	5.06917510166667	NaN	8815.58341	1	NaN	NaN	NaN
13	4	2	AsyncTheta	159	1091_4Hz.avi	choir8_oneeighty_4Hz.wav	choir	1	4.93677460000072	1	13	159	88	121	124	1	14	1	5.06917510166667	NaN	8825.516759	1	NaN	NaN	NaN
13	5	2	AsyncTheta	96	1027_4Hz.avi	acoustic40_oneeighty_4Hz.wav	acoustic	2	6.73357709999982	1	13	148	96	113	107	2	4	2	5.06917510166667	NaN	8832.2168692	1	NaN	NaN	NaN
13	6	2	AsyncTheta	124	1183_4Hz.avi	choir24_oneeighty_4Hz.wav	choir	4	6.97934050000003	0	13	159	88	124	121	3	6	4	5.06917510166667	NaN	8841.783555	1	NaN	NaN	NaN
13	7	2	AsyncTheta	145	1352_4Hz.avi	orch39_oneeighty_4Hz.wav	orch	1	5.33451849999983	0	13	165	143	137	145	4	10	5	5.06917510166667	NaN	8850.4668785	1	NaN	NaN	NaN
13	8	2	AsyncTheta	148	1121_4Hz.avi	acoustic26_oneeighty_4Hz.wav	acoustic	1	10.6314614000003	0	13	113	148	107	96	2	7	4	5.06917510166667	NaN	8858.2668754	1	NaN	NaN	NaN
13	9	2	AsyncTheta	114	1322_4Hz.avi	dar14_oneeighty_4Hz.wav	dar	2	5.55057840000154	0	13	126	136	114	154	3	15	2	5.06917510166667	NaN	8871.3002931	1	NaN	NaN	NaN
13	10	2	AsyncTheta	107	1265_4Hz.avi	acoustic16_oneeighty_4Hz.wav	acoustic	3	6.33477089999906	0	13	113	107	148	96	2	5	2	5.06917510166667	NaN	8879.7503106	1	NaN	NaN	NaN
13	11	2	AsyncTheta	137	1303_4Hz.avi	orch10_oneeighty_4Hz.wav	orch	2	4.86414490000061	0	13	145	143	165	137	4	16	5	5.06917510166667	NaN	8887.9003694	1	NaN	NaN	NaN
13	12	2	AsyncTheta	88	1191_4Hz.avi	choir20_oneeighty_4Hz.wav	choir	4	3.80192389999866	0	13	124	88	159	121	2	11	4	5.06917510166667	NaN	8895.4503968	1	NaN	NaN	NaN
13	13	2	AsyncTheta	136	1175_4Hz.avi	dar4_oneeighty_4Hz.wav	dar	3	4.22434070000054	0	13	126	136	114	154	2	12	2	5.06917510166667	NaN	8900.8837216	1	NaN	NaN	NaN
13	14	2	AsyncTheta	121	1354_4Hz.avi	choir22_oneeighty_4Hz.wav	choir	4	6.59667489999993	1	13	88	124	159	121	4	1	2	5.06917510166667	NaN	8908.0670564	1	NaN	NaN	NaN
13	15	2	AsyncTheta	126	1298_4Hz.avi	dar9_oneeighty_4Hz.wav	dar	2	3.79448330000014	0	13	114	154	136	126	4	13	3	5.06917510166667	NaN	8917.9004523	1	NaN	NaN	NaN
13	16	2	AsyncTheta	113	1037_4Hz.avi	acoustic23_oneeighty_4Hz.wav	acoustic	4	3.23072540000067	1	13	96	148	107	113	4	9	5	5.06917510166667	NaN	8923.9504733	1	NaN	NaN	NaN
13	1	3	NoFlicker	118	1020_half_amp.avi	willow22_half_amp.wav	willow	1	5.73892069999965	1	13	118	178	130	149	1	9	3	4.644878305	NaN	9095.0677466	1	NaN	NaN	NaN
13	2	3	NoFlicker	130	1081_half_amp.avi	willow5_half_amp.wav	willow	3	3.32714060000035	1	13	149	178	130	118	3	11	1	4.644878305	NaN	9102.3511396	1	NaN	NaN	NaN
13	3	3	NoFlicker	186	1031_half_amp.avi	synth7_half_amp.wav	synth	3	4.98103570000058	0	13	186	129	128	111	1	1	4	4.644878305	NaN	9108.2845029	1	NaN	NaN	NaN
13	4	3	NoFlicker	161	1433_half_amp.avi	guitar2_half_amp.wav	guitar	2	6.38961059999929	1	13	151	161	185	112	2	16	1	4.644878305	NaN	9116.4678127	1	NaN	NaN	NaN
13	5	3	NoFlicker	144	1255_half_amp.avi	ep28_half_amp.wav	ep	2	7.38164809999944	0	13	144	189	138	117	1	2	5	4.644878305	NaN	9125.3012087	1	NaN	NaN	NaN
13	6	3	NoFlicker	185	1131_half_amp.avi	guitar45_half_amp.wav	guitar	4	4.13407370000095	1	13	112	151	161	185	4	12	1	4.644878305	NaN	9135.3012446	1	NaN	NaN	NaN
13	7	3	NoFlicker	149	1200_half_amp.avi	willow8_half_amp.wav	willow	2	5.23783759999969	0	13	149	178	118	130	1	13	3	4.644878305	NaN	9141.8846319	1	NaN	NaN	NaN
13	8	3	NoFlicker	138	1149_half_amp.avi	ep2_half_amp.wav	ep	1	5.63096049999876	0	13	189	117	138	144	3	6	2	4.644878305	NaN	9149.4179347	1	NaN	NaN	NaN
13	9	3	NoFlicker	129	1286_half_amp.avi	synth30_half_amp.wav	synth	1	1.00300769999922	0	13	128	111	129	186	3	10	5	4.644878305	NaN	9156.8846543	1	NaN	NaN	NaN
13	10	3	NoFlicker	189	1051_half_amp.avi	ep14_half_amp.wav	ep	3	5.16480909999882	1	13	138	117	189	144	3	5	5	4.644878305	NaN	9161.7347016	1	NaN	NaN	NaN
13	11	3	NoFlicker	178	1057_half_amp.avi	willow9_half_amp.wav	willow	4	3.17588890000115	1	13	118	149	130	178	4	15	5	4.644878305	NaN	9169.218033	1	NaN	NaN	NaN
13	12	3	NoFlicker	151	1259_half_amp.avi	guitar43_half_amp.wav	guitar	3	2.37789349999912	0	13	151	185	161	112	1	14	1	4.644878305	NaN	9175.2014467	1	NaN	NaN	NaN
13	13	3	NoFlicker	111	1390_half_amp.avi	synth3_half_amp.wav	synth	1	4.28244280000035	0	13	186	111	129	128	2	3	5	4.644878305	NaN	9180.0180747	1	NaN	NaN	NaN
13	14	3	NoFlicker	112	1388_half_amp.avi	guitar39_half_amp.wav	guitar	3	4.88775250000072	1	13	151	185	112	161	3	4	5	4.644878305	NaN	9186.1680728	1	NaN	NaN	NaN
13	15	3	NoFlicker	128	1269_half_amp.avi	synth14_half_amp.wav	synth	1	4.61177830000088	1	13	128	186	111	129	1	7	4	4.644878305	NaN	9193.7180959	1	NaN	NaN	NaN
13	16	3	NoFlicker	117	1144_half_amp.avi	ep39_half_amp.wav	ep	2	4.37713640000038	1	13	144	117	189	138	2	8	1	4.644878305	NaN	9201.5681277	1	NaN	NaN	NaN
13	1	4	SyncDelta	22	1212_1.7Hz.avi	willow20_zero_1.7Hz.wav	willow	4	6.58570700000018	0	13	55	22	66	94	2	6	2	4.88448034666667	NaN	9374.9854244	1	NaN	NaN	NaN
13	2	4	SyncDelta	94	1109_1.7Hz.avi	willow6_zero_1.7Hz.wav	willow	2	4.02851089999967	0	13	55	66	94	22	3	7	5	4.88448034666667	NaN	9384.7021558	1	NaN	NaN	NaN
13	3	4	SyncDelta	35	1039_1.7Hz.avi	synth5_zero_1.7Hz.wav	synth	1	8.25767820000146	1	13	35	70	71	100	1	2	1	4.88448034666667	NaN	9391.7855145	1	NaN	NaN	NaN
13	4	4	SyncDelta	90	1273_1.7Hz.avi	guitar23_zero_1.7Hz.wav	guitar	2	5.07001479999963	0	13	73	67	7	90	4	15	2	4.88448034666667	NaN	9402.4022355	1	NaN	NaN	NaN
13	5	4	SyncDelta	65	1013_1.7Hz.avi	ep22_zero_1.7Hz.wav	ep	1	5.74624129999938	1	13	65	16	101	86	1	8	4	4.88448034666667	NaN	9409.0689368	1	NaN	NaN	NaN
13	6	4	SyncDelta	73	1369_1.7Hz.avi	guitar19_zero_1.7Hz.wav	guitar	1	4.59855179999977	0	13	67	7	73	90	3	9	2	4.88448034666667	NaN	9416.7856029	1	NaN	NaN	NaN
13	7	4	SyncDelta	55	1044_1.7Hz.avi	willow4_zero_1.7Hz.wav	willow	3	7.52878400000009	0	13	22	55	66	94	2	11	3	4.88448034666667	NaN	9423.8022986	1	NaN	NaN	NaN
13	8	4	SyncDelta	16	1442_1.7Hz.avi	ep34_zero_1.7Hz.wav	ep	2	4.76036900000145	1	13	65	16	101	86	2	12	2	4.88448034666667	NaN	9433.7690106	1	NaN	NaN	NaN
13	9	4	SyncDelta	70	1093_1.7Hz.avi	synth6_zero_1.7Hz.wav	synth	3	4.67174859999977	0	13	35	70	100	71	2	5	2	4.88448034666667	NaN	9440.7357264	1	NaN	NaN	NaN
13	10	4	SyncDelta	86	1278_1.7Hz.avi	ep35_zero_1.7Hz.wav	ep	2	8.92994180000096	0	13	101	16	65	86	4	10	4	4.88448034666667	NaN	9447.6524333	1	NaN	NaN	NaN
13	11	4	SyncDelta	66	1215_1.7Hz.avi	willow18_zero_1.7Hz.wav	willow	3	4.91415469999993	0	13	94	66	55	22	2	13	5	4.88448034666667	NaN	9459.3857978	1	NaN	NaN	NaN
13	12	4	SyncDelta	7	1017_1.7Hz.avi	guitar47_zero_1.7Hz.wav	guitar	4	3.53791490000003	1	13	73	67	90	7	4	14	2	4.88448034666667	NaN	9466.5691462	1	NaN	NaN	NaN
